entidad,segmento,codigo_adjudicacion,tramo_gestion,casos_activos,tipo_accion,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,dia10,dia11,dia12,dia13,dia14,dia15,dia16,dia17,dia18,dia19,dia20,dia21,dia22,dia23,dia24,dia25,dia26,dia27,dia28,dia29,dia30,dia31,total_mes
AYSE,NULL,260506,"2) 31 a 60",3010,call_ope,0,0,0,0,0,0,0,89,14,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
AYSE,NULL,260506,"2) 31 a 60",3010,call_pred,0,0,0,0,0,0,0,803,91,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646
AYSE,NULL,260506,"2) 31 a 60",3010,mail,0,0,0,0,0,0,0,172,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193
AYSE,NULL,260513,"1) 0 a 30",1440,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260513,"1) 0 a 30",1440,ivr,1145,422,1049,492,497,91,0,119,393,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4618
AYSE,NULL,260513,"1) 0 a 30",1440,sms_corto,186,8,4,1,7,0,0,376,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595
AYSE,NULL,260513,"1) 0 a 30",1440,sms_largo,0,74,23,34,66,4,0,69,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
AYSE,NULL,260513,"1) 0 a 30",1440,whatsapp,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
AYSE,NULL,260513,"1) 0 a 30",1440,call_ope,85,43,42,8,64,0,0,75,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409
AYSE,NULL,260513,"1) 0 a 30",1440,call_pred,654,229,225,6,223,0,0,480,72,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371
AYSE,NULL,260513,"1) 0 a 30",1440,mail,5,610,4,607,2,0,0,118,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935
AYSE,NULL,260520,"1) 0 a 30",2626,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260520,"1) 0 a 30",2626,ivr,3664,2311,2334,1086,1016,157,0,195,736,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12238
AYSE,NULL,260520,"1) 0 a 30",2626,sms_corto,467,12,9,4,16,1,0,769,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314
AYSE,NULL,260520,"1) 0 a 30",2626,sms_largo,7,173,35,55,131,1,0,129,39,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637
AYSE,NULL,260520,"1) 0 a 30",2626,whatsapp,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
AYSE,NULL,260520,"1) 0 a 30",2626,call_ope,265,113,156,85,104,0,0,155,16,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023
